Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
DSP Nifty Midcap 150 Quality 50 ETF,Equity : ETFs,Anil Ghelani,Open Ended,NIFTY Midcap150 Quality 50 NA TRI,91.7,0.3,233.76,8.99,12.08,15.835,10.335,46.0,51930,3.105,2.595,7.065,0.15,0.14,0.26,1.0,15.48,3
DSP Nifty Midcap 150 Quality 50 Index FundNAReg(G),Equity : Index Funds,Anil Ghelani,Open Ended,NIFTY Midcap150 Quality 50 NA TRI,388.3,0.86,13.65,8.34,12.555,15.835,10.335,61.0,51926,3.105,2.595,7.065,0.15,0.16,0.3,1.0,14.06,2
DSP NIFTY Next 50 Index FundNAReg(G),Equity : Index Funds,Anil Ghelani,Open Ended,NIFTY NEXT 50 NA TRI,899.2,0.61,24.84,0.51,14.89,21.79,10.335,81.0,134057,3.105,2.595,7.065,0.15,0.17,0.29,1.0,20.02,6
DSP Nifty Private Bank ETF,Equity : ETFs,Anil Ghelani,Open Ended,Nifty Private Bank NA TRI,378.1,0.16,27.65,12.71,12.555,15.835,10.335,73.0,410328,3.105,2.595,7.065,0.15,0.07,0.14,1.0,14.2,1
DSP Nifty Private Bank Index FundNAReg(G),Equity : Index Funds,Anil Ghelani,Open Ended,Nifty Private Bank NA TRI,11.3,1.0,11.25,8.43,12.555,15.835,10.335,9.0,409477,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
DSP Nifty PSU Bank ETF,Equity : ETFs,Anil Ghelani,Open Ended,NIFTY PSU BANK NA TRI,62.4,0.15,65.43,8.43,12.555,15.835,10.335,98.0,170699,3.105,2.595,7.065,0.15,0.21,0.51,0.97,23.78,1
DSP Nifty SDL Plus GNASec Jun 2028 30:70 Index FundNAReg(G),Debt : Medium to Long Duration,Shantanu Godambe,Open Ended,Nifty SDL Plus GNASec Jun 2028 70:30 Index,2178.9,0.35,12.32,9.88,7.46,15.835,10.335,0.0,160311,2.73,2.38,6.69,0.04,0.46,0.76,0.62,1.99,3
DSP Nifty SDL Plus GNASec Sep 2027 50:50 Index FundNAReg(G),Debt : Medium to Long Duration,Shantanu Godambe,Open Ended,Nifty SDL Plus GNASec Sep 2027 50:50 Index,83.8,0.32,11.94,9.32,12.555,15.835,10.335,0.0,160311,2.29,2.05,6.73,0.15,1.08,1.32,0.4,1.1,2
DSP Nifty Smallcap250 Quality 50 Index FundNAReg(G),Equity : Index Funds,Anil Ghelani,Open Ended,Nifty Smallcap250 Quality 50 NA TRI,205.8,0.99,10.57,8.43,12.555,15.835,10.335,111.0,16125,3.105,2.595,7.065,0.15,0.02,0.03,1.0,24.3,1
DSP Nifty Top 10 Equal Weight ETF,Equity : ETFs,Anil Ghelani,Open Ended,Nifty Top 10 Equal Weight NA TRI,572.9,0.15,96.43,8.43,12.555,15.835,10.335,25.0,772658,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
DSP Nifty Top 10 Equal Weight Index FundNAReg(G),Equity : Index Funds,Anil Ghelani,Open Ended,Nifty Top 10 Equal Weight NA TRI,1494.7,0.94,9.87,8.43,12.555,15.835,10.335,25.0,772659,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
DSP Overnight FundNAReg(G),Debt : Overnight,Karan Mundhra,Open Ended,CRISIL Liquid Overnight Index,1366.7,0.13,1367.34,6.51,6.29,5.02,10.335,0.0,160311,0.01,2.595,7.07,0.15,2.85,0.9,0.98,0.22,6
DSP Quant FundNAReg(G),Equity : Thematic,Aparna Karnik,Open Ended,BSE 200 NA TRI,976.0,1.28,20.38,5.28,9.1,16.25,10.335,93.0,182693,3.105,2.595,7.065,0.15,0.09,0.18,0.91,13.45,5
DSP Regular Savings FundNAReg(G),Hybrid : Debt Oriented (Conservative),Abhishek Singh,Open Ended,CRISIL Hybrid 85+15 NA Conservative Index,163.5,1.11,58.01,11.01,9.74,10.24,7.25,0.0,213442,2.65,2.14,6.87,0.07,0.38,0.79,0.96,3.81,20
DSP Savings FundNAReg(G),Debt : Money Market,Karan Mundhra,Open Ended,CRISIL Money Market Index,4324.8,0.39,52.08,7.54,6.69,5.72,6.29,0.0,160311,0.45,0.42,7.05,0.06,1.08,0.91,0.76,0.68,25
DSP Short Term FundNAReg(G),Debt : Short Duration,Karan Mundhra,Open Ended,CRISIL Short Duration Debt Index,3061.1,0.95,46.18,9.12,6.7,6.04,6.76,0.0,160311,3.5,2.73,7.29,0.08,0.58,0.87,0.36,1.22,22
DSP Silver ETF,Gold : ETFs,Ravi Gehani,Open Ended,Silver,375.1,0.4,91.74,19.1,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.53,0.27,0.6,0.11,20.49,2
DSP Silver ETF FoFNAReg(G),FoFs : Domestic,Anil Ghelani,Open Ended,Silver,756.8,1.04,27.62,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
DSP Small Cap FundNAReg(G),Equity : Small Cap,Vinit Sambre,Open Ended,BSE 250 Small Cap NA TRI,14269.1,1.73,169.53,1.68,14.64,31.0,15.92,24.0,8406,3.105,2.595,7.065,0.15,0.18,0.32,0.87,18.14,17
DSP Strategic Bond FundNAReg(G),Debt : Dynamic Bond,Sandeep Yadav,Open Ended,CRISIL Dynamic Bond Index,1503.6,1.2,3410.3,12.32,8.18,6.48,7.39,0.0,160311,27.68,10.99,7.07,0.15,0.4,1.03,1.79,2.82,17
DSP Top 100 Equity FundNAReg(G),Equity : Large Cap,Abhishek Singh,Open Ended,BSE 100 NA TRI,5070.2,1.9,462.94,14.76,19.28,21.14,11.61,28.0,294736,3.105,2.595,7.065,0.41,0.3,0.65,0.88,12.36,22
DSP Ultra Short FundNAReg(G),Debt : Ultra Short Duration,Shalini Vasanta,Open Ended,CRISIL Ultra Short Term Debt Index,3349.3,1.01,3370.61,7.29,6.42,5.22,5.89,0.0,160311,0.48,0.43,7.26,0.15,1.35,0.86,1.0,0.49,18
DSP Value FundNAReg(G),Equity : Value / Contra,Aparna Karnik,Open Ended,NIFTY 500 NA TRI,926.6,1.71,20.17,9.29,16.61,15.835,10.335,110.0,130329,3.105,2.595,7.065,0.32,0.28,0.55,0.73,11.63,4
Edelweiss Aggressive Hybrid FundNAReg(G),Hybrid : Multi Asset Allocation,Bharat Lahoti,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,2487.2,1.93,60.96,10.3,16.77,21.03,12.42,134.0,226003,1.81,1.51,7.19,0.28,0.31,0.61,1.05,10.46,15
Edelweiss Arbitrage FundNAReg(G),Hybrid : Arbitrage,Bhavesh Jain,Open Ended,Nifty 50 Arbitrage,14003.2,1.04,19.21,7.37,6.76,5.49,5.94,1469.0,168224,0.46,0.46,7.06,0.06,1.29,0.99,0.65,0.58,10
Edelweiss Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Bhavesh Jain,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,12239.8,1.68,49.05,5.24,11.55,15.28,10.21,247.0,254873,1.17,0.99,6.86,0.13,0.22,0.44,0.63,8.59,15
Edelweiss Banking and PSU Debt FundNAReg(G),Debt : Banking & PSU,Dhawal Dalal,Open Ended,CRISIL Banking and PSU Debt Index,263.2,0.7,24.47,9.92,7.24,6.83,7.61,0.0,160311,4.76,3.79,6.97,0.15,0.37,0.64,1.38,2.31,11
Edelweiss BSE Capital Markets & Insurance ETF,Equity : ETFs,Bhavesh Jain,Open Ended,BSE Capital Markets & Insurance NA TRI,11.8,0.18,20.63,8.43,12.555,15.835,10.335,20.84,57119,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss Business Cycle FundNAReg(G),Equity : Thematic,Bhavesh Jain,Open Ended,NIFTY 500 NA TRI,1695.2,2.03,8.36,8.43,12.555,15.835,10.335,20.84,104818,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss Consumption FundNAReg(G),Equity : Thematic NA Consumption,Dhruv Bhatia,Open Ended,Nifty India Consumption NA TRI,314.6,2.37,10.67,8.43,12.555,15.835,10.335,20.84,159929,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index FundNAReg(G),Debt : Long Duration,Dhawal Dalal,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Index NA April 2037,1025.6,0.48,12.87,13.11,12.555,15.835,10.335,0.0,160311,11.44,7.51,6.94,0.01,0.64,1.44,1.08,2.78,2
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Dhawal Dalal,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Index NA June 2027,92.3,0.45,12.15,9.11,12.555,15.835,10.335,0.0,160311,2.08,1.87,6.68,0.12,0.94,1.27,0.42,1.17,2
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Dhawal Dalal,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Index NA Sep 2028,153.7,0.45,12.26,10.16,12.555,15.835,10.335,0.0,160311,3.12,2.68,6.75,0.12,0.88,1.37,0.52,1.34,2
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index FundNAReg(G),Debt : Short Duration,Rahul Dedhia,Open Ended,CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index,132.3,0.63,11.88,9.35,12.555,15.835,10.335,0.0,160311,2.57,2.33,6.72,0.15,1.15,1.31,0.36,0.98,2
Edelweiss CRISIL IBX AAA Financial Services Bond NA Jan 2028 Index FundNAReg(G),Debt : Medium to Long Duration,Dhawal Dalal,Open Ended,CRISILNAIBX AAA Financial Services Index NA Jan 2028,133.1,0.35,10.42,8.43,12.555,15.835,10.335,0.0,160311,2.59,2.21,7.65,0.15,0.28,0.55,0.94,12.62,0
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index FundNAReg(G),Debt : Medium Duration,Dhawal Dalal,Open Ended,CRISIL IBX 50:50 PSU + SDL Index NA October 2025,814.4,0.4,11.95,7.44,6.29,15.835,10.335,0.0,160311,0.36,0.34,7.0,0.03,0.36,0.49,0.4,1.64,3
Edelweiss CRISILNAIBX AAA Bond NBFCNAHFCNAJun 2027 Index FundNAReg(G),Debt : Short Duration,Dhawal Dalal,Open Ended,CRISILNAIBX AAA NBFCNAHFC Index NA Jun 2027,81.9,0.34,10.23,8.43,12.555,15.835,10.335,0.0,160311,2.15,1.84,7.71,0.15,0.28,0.55,0.94,12.62,0
Edelweiss ELSS Tax saver FundNAReg(G),Equity : Tax Saving (ELSS),Ashwani Agarwalla,Open Ended,NIFTY 500 NA TRI,384.3,2.33,104.01,7.05,14.95,21.04,11.5,26.0,209728,3.105,2.595,7.065,0.15,0.19,0.35,0.97,14.56,16
Edelweiss Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Bharat Lahoti,Open Ended,NIFTY 50 Equity Savings Index,577.3,1.6,24.47,9.85,10.28,11.11,8.81,632.0,145846,2.24,1.81,7.04,0.19,0.37,0.79,0.75,4.33,10
Edelweiss Flexi Cap FundNAReg(G),Equity : Flexi Cap,Trideep Bhattacharya,Open Ended,NIFTY 500 NA TRI,2419.5,1.96,36.12,8.78,17.71,23.78,14.2,46.0,219413,3.105,2.595,7.065,0.14,0.22,0.43,1.01,15.16,10
Edelweiss Focused FundNAReg(G),Equity : Flexi Cap,Trideep Bhattacharya,Open Ended,NIFTY 500 NA TRI,894.1,2.21,15.75,9.53,12.555,15.835,10.335,46.0,312530,3.105,2.595,7.065,0.14,0.28,0.57,0.99,13.38,2
Edelweiss Gold and Silver ETF FoFNAReg(G),FoFs : Domestic,Bhavesh Jain,Open Ended,GoldNAIndia,302.2,0.5,17.43,24.77,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.56,0.37,0.86,0.94,14.41,2
Edelweiss Gold ETF,Gold : ETFs,Amit Vora,Open Ended,GoldNAIndia,158.7,0.59,95.04,30.73,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,2.38,0.57,1.57,0.94,13.05,1
Edelweiss Government Securities FundNAReg(G),Debt : Gilt,Rahul Dedhia,Open Ended,CRISIL Dynamic Gilt Index,171.5,1.15,24.85,11.82,7.9,7.06,7.79,0.0,160311,30.91,11.14,6.99,0.02,0.4,1.04,0.8,2.7,11
Edelweiss Large & Mid Cap FundNAReg(G),Equity : Large & Mid Cap,Sumanta Khan,Open Ended,NIFTY LargeMidcap 250 NA TRI,3607.6,1.86,81.08,8.77,16.74,23.73,13.96,17.0,119184,3.105,2.595,7.065,0.15,0.22,0.41,0.98,15.3,17
Edelweiss Large Cap FundNAReg(G),Equity : Large Cap,Bharat Lahoti,Open Ended,NIFTY 100 NA TRI,1156.6,2.15,81.27,6.23,15.43,20.81,12.36,110.0,338591,3.105,2.595,7.065,0.17,0.22,0.42,0.92,12.92,15
Edelweiss Liquid FundNAReg(G),Debt : Liquid,Rahul Dedhia,Open Ended,CRISIL Liquid Debt Index,5243.4,0.2,3303.59,7.27,6.73,5.34,6.12,0.0,160311,0.16,0.16,7.01,0.15,2.24,0.94,1.2,0.32,16
Edelweiss Low Duration FundNAReg(G),Debt : Low Duration,Pranavi Kulkarni,Open Ended,CRISIL Low Duration Debt Index,642.2,1.05,1012.9,8.43,12.555,15.835,10.335,0.0,160311,0.88,0.86,7.03,0.15,0.28,0.55,0.94,12.62,0
Edelweiss Mid Cap FundNAReg(G),Equity : Mid Cap,Trideep Bhattacharya,Open Ended,Nifty Midcap 150 NA TRI,8633.9,1.7,92.99,15.71,23.2,32.13,17.59,51.0,59753,3.105,2.595,7.065,0.14,0.29,0.55,0.98,17.55,17
Edelweiss Money Market FundNAReg(G),Debt : Dynamic Bond,Pranavi Kulkarni,Open Ended,CRISIL Money Market Index,1370.7,0.82,28.16,7.37,6.2,5.0,6.33,0.0,160311,0.83,0.83,7.23,0.04,0.94,0.83,0.68,0.63,16
Edelweiss MSCI India Domestic & World Healthcare 45 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,MSCI India Domestic & World Healthcare 45 Index,159.8,1.04,19.1,12.3,15.87,15.835,10.335,20.84,105789,3.105,2.595,7.065,0.43,0.23,0.49,0.66,12.91,4
Edelweiss Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Bhavesh Jain,Open Ended,CRISIL Short Term Bond Index,1576.6,0.72,11.56,8.9,12.555,15.835,10.335,571.0,270783,3.74,2.97,7.17,0.31,1.46,1.2,0.01,0.76,1
Edelweiss Multi Cap FundNAReg(G),Equity : Multi Cap,Trideep Bhattacharya,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,2524.2,1.94,14.08,8.82,12.555,15.835,10.335,40.0,109410,3.105,2.595,7.065,0.16,0.27,0.5,1.09,17.75,1
Edelweiss Nifty 100 Quality 30 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,NIFTY100 Quality 30 NA TRI,142.3,0.9,13.6,4.28,13.41,15.835,10.335,59.0,247530,3.105,2.595,7.065,0.15,0.18,0.36,1.0,13.43,3
Edelweiss Nifty 50 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,NIFTY 50 NA TRI,151.6,0.5,13.76,7.94,12.9,15.835,10.335,9.0,541593,3.105,2.595,7.065,0.15,0.16,0.33,0.99,12.96,3
Edelweiss Nifty Alpha Low Volatility 30 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,NIFTY Alpha LowNAVolatility 30 NA TRI,128.0,1.09,9.76,8.43,12.555,15.835,10.335,87.0,197957,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss Nifty Bank ETF,Equity : ETFs,Bhavesh Jain,Open Ended,NIFTY BANK NA TRI,9.8,0.07,55.02,8.43,12.555,15.835,10.335,20.84,503702,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss NIFTY Large Mid Cap 250 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,NIFTY LargeMidcap 250 NA TRI,242.3,0.83,15.55,6.23,16.67,15.835,10.335,17.0,153387,3.105,2.595,7.065,0.15,0.22,0.42,0.99,15.08,3
Edelweiss Nifty Midcap150 Momentum 50 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,Nifty Midcap150 Momentum 50 NA TRI,802.5,1.11,16.76,1.99,12.555,15.835,10.335,107.0,66475,3.105,2.595,7.065,0.15,0.31,0.54,0.99,19.11,2
Edelweiss Nifty Next 50 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,NIFTY NEXT 50 NA TRI,119.6,0.79,14.65,0.3,12.555,15.835,10.335,78.0,134057,3.105,2.595,7.065,0.15,0.22,0.4,1.0,19.04,2
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index FundNAReg(G),Debt : Banking & PSU,Dhawal Dalal,Open Ended,Nifty PSU Bond Plus SDL Apr 2026 50:50 Index,7610.2,0.4,12.81,8.02,6.6,15.835,10.335,0.0,160311,0.89,0.82,7.04,0.02,0.36,0.49,0.48,1.81,4
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index FundNAReg(G),Debt : Medium to Long Duration,Dhawal Dalal,Open Ended,Nifty PSU Bond Plus SDL Apr 2027 50:50 Index,2309.1,0.4,12.25,8.9,6.85,15.835,10.335,0.0,160311,1.91,1.73,7.01,0.15,0.33,0.48,0.6,2.13,3
Edelweiss Nifty Smallcap 250 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,Nifty Smallcap 250 NA TRI,109.2,0.83,15.66,8.43,12.555,15.835,10.335,44.0,16972,3.105,2.595,7.065,0.15,0.26,0.48,1.0,19.65,2
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,Equity : ETFs,Bhavesh Jain,Open Ended,Nifty500 Multicap Momentum Quality 50 NA TRI,24.6,0.26,39.44,8.43,12.555,15.835,10.335,20.84,99277,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss Nifty500 Multicap Momentum Quality 50 Index FundNAReg(G),Equity : Index Funds,Bhavesh Jain,Open Ended,Nifty500 Multicap Momentum Quality 50 NA TRI,177.8,1.1,8.61,8.43,12.555,15.835,10.335,20.84,99277,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Edelweiss Overnight FundNAReg(G),Debt : Overnight,Pranavi Kulkarni,Open Ended,CRISIL Liquid Overnight Index,566.2,0.16,1323.58,6.46,6.25,5.0,10.335,0.0,160311,0.01,0.01,6.81,0.15,2.73,0.89,0.92,0.22,5
Edelweiss Recently Listed IPO FundNAReg(G),Equity : Thematic,Bhavesh Jain,Open Ended,India Recent 100 IPO Index,836.8,2.32,23.91,0.15,8.97,21.41,10.335,104.0,19287,3.105,2.595,7.065,0.15,0.08,0.13,1.03,19.19,7
Edelweiss Silver ETF,Gold : ETFs,Amit Vora,Open Ended,Silver,154.8,0.59,95.4,19.0,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,2.69,0.25,0.52,0.94,19.9,1
Edelweiss Small Cap FundNAReg(G),Equity : Small Cap,Trideep Bhattacharya,Open Ended,Nifty Smallcap 250 NA TRI,4064.1,1.83,39.74,4.39,17.88,32.93,10.335,20.0,19817,3.105,2.595,7.065,0.19,0.23,0.41,0.82,17.44,6
Edelweiss Technology FundNAReg(G),Equity : Sectoral NA Technology,Sumanta Khan,Open Ended,BSE TECk Index NA TRI,602.2,2.34,10.5,7.31,12.555,15.835,10.335,20.84,150164,3.105,2.595,7.065,0.15,0.28,0.55,0.89,18.32,1
Franklin Asian Equity Fund(G),Equity : International,Shyam Sundar Sriram,Open Ended,MSCI Asia (exNAJapan) Standard Index,238.8,2.54,27.78,6.62,2.97,4.69,4.71,21.7,237368,3.105,2.595,7.065,0.15,0.28,0.55,0.31,15.22,17
Franklin Build India Fund(G),Equity : Sectoral NA Infrastructure,Ajay Argal,Open Ended,BSE India Infrastructure Index NA TRI,2641.6,2.01,132.34,1.99,27.84,33.82,16.46,23.48,132528,3.105,2.595,7.065,0.76,0.37,0.75,0.59,16.5,15
Franklin India Arbitrage FundNAReg(G),Hybrid : Arbitrage,Rajasa Kakulavarapu,Open Ended,Nifty 50 Arbitrage NA TRI,206.8,0.98,10.3,8.43,12.555,15.835,10.335,657.36,128156,0.48,0.45,6.82,0.15,0.28,0.55,0.94,12.62,0
Franklin India Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Rajasa Kakulavarapu,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,2502.4,1.95,14.01,8.35,12.555,15.835,10.335,317.06,251975,4.88,3.58,7.34,0.36,0.41,0.92,0.49,6.38,2
Franklin India Banking & PSU Debt Fund(G),Debt : Banking & PSU,Chandni Gupta,Open Ended,NIFTY Banking and PSU Debt Index,547.1,0.51,22.22,8.9,6.81,6.15,7.22,0.0,160311,4.96,3.17,7.25,0.09,0.61,0.81,0.35,1.24,10
Franklin India Bluechip Fund(G),Equity : Large Cap,Venkatesh Sanjeevi,Open Ended,NIFTY 100,7342.7,1.89,985.28,10.7,13.59,20.78,11.02,89.12,354110,3.105,2.595,7.065,0.06,0.18,0.35,0.88,12.64,31
Franklin India Corp Debt FundNAA(G),Debt : Corporate Bond,Anuj Tagra,Open Ended,NIFTY Corporate Bond Index,759.1,0.83,98.58,10.25,7.04,6.75,7.31,0.0,160311,5.36,3.36,7.41,0.1,0.6,0.8,0.31,1.18,27
Franklin India Debt Hybrid Fund(G),Hybrid : Debt Oriented (Conservative),Rohan Maru,Open Ended,CRISIL Hybrid 85+15 NA Conservative Index,198.3,1.4,89.23,9.2,9.61,9.69,7.53,0.0,229277,8.05,5.03,7.29,0.03,0.36,0.78,1.02,3.88,24
Franklin India Dynamic Asset Allocation FOFs(G),FoFs : Domestic,Rajasa Kakulavarapu,Open Ended,CRISIL Hybrid 50+50 NA Moderate Index,1272.5,1.33,160.96,8.29,13.9,20.77,10.22,74.54,160311,3.105,2.595,7.065,0.37,0.33,0.71,0.51,7.26,21
Franklin India ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),R. Janakiraman,Open Ended,NIFTY 500 NA TRI,6358.6,1.85,1430.78,8.75,19.35,26.52,13.24,22.95,259663,3.105,2.595,7.065,0.29,0.27,0.51,0.94,14.0,25
Franklin India Equity Advantage Fund(G),Equity : Large & Mid Cap,Venkatesh Sanjeevi,Open Ended,NIFTY LargeMidcap 250,3273.2,2.05,178.7,11.28,14.46,24.45,11.4,113.78,108671,3.105,2.595,7.065,0.15,0.19,0.37,0.88,13.83,20
Franklin India Equity Hybrid Fund(G),Hybrid : Equity Oriented,Rajasa Kakulavarapu,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,2054.8,2.09,262.77,8.59,15.24,19.83,11.49,67.57,236231,5.1,3.45,7.51,0.17,0.28,0.55,1.0,9.97,25
Franklin India Equity Savings Fund(G),Hybrid : Equity Oriented,Rajasa Kakulavarapu,Open Ended,NIFTY 50 Equity Savings Index,637.0,1.12,16.11,7.36,8.26,11.07,10.335,694.2,348210,5.6,3.38,7.14,0.11,0.26,0.5,0.27,3.96,6
Franklin India Flexi Cap Fund(G),Equity : Flexi Cap,R. Janakiraman,Open Ended,NIFTY 500 NA TRI,17393.9,1.75,1583.83,8.95,19.08,27.4,13.92,26.7,244814,3.105,2.595,7.065,0.28,0.26,0.51,0.93,13.79,30
Franklin India Floating Rate Fund(G),Debt : Floater,Pallab Roy,Open Ended,Nifty Short Duration Debt Index,313.7,0.98,40.43,9.34,7.48,6.29,6.31,0.0,160311,9.38,3.91,7.4,0.11,0.94,1.04,0.81,0.98,23
Franklin India Focused Equity Fund(G),Equity : Multi Cap,Ajay Argal,Open Ended,NIFTY 500 NA TRI,11396.4,1.8,103.66,5.78,17.53,25.59,13.4,19.37,329723,4.82,3.33,14.04,0.18,0.24,0.46,0.91,13.67,17
Franklin India GNASec Fund(G),Debt : Gilt,Anuj Tagra,Open Ended,Nifty All Duration GNASec Index,149.8,1.15,58.94,10.4,6.6,5.01,6.05,0.0,160311,12.49,6.46,6.99,0.15,0.38,0.7,0.54,1.81,23
Franklin India Liquid FundNASuper Inst(G),Debt : Liquid,Pallab Roy,Open Ended,Nifty Liquid Fund Index,2002.4,0.2,3888.94,7.35,6.83,5.44,6.34,0.0,160311,0.22,0.2,7.11,0.16,2.41,0.97,0.29,0.31,19
Franklin India Long Duration FundNAReg(G),Debt : Long Duration,Chandni Gupta,Open Ended,CRISIL Long Duration Debt Index,25.4,0.85,10.58,8.43,12.555,15.835,10.335,0.0,160311,17.42,9.35,7.09,0.15,0.28,0.55,0.94,12.62,0
Franklin India Low Duration FundNAReg(G),Debt : Low Duration,Chandni Gupta,Open Ended,NIFTY Low Duration Debt Index,364.1,0.87,10.17,8.43,12.555,15.835,10.335,0.0,160311,1.74,0.97,7.37,0.15,0.28,0.55,0.94,12.62,0
Franklin India Medium to Long Duration FundNAReg(G),Debt : Medium to Long Duration,Chandni Gupta,Open Ended,CRISIL Medium to Long Term Debt Index,48.7,0.76,10.62,8.43,12.555,15.835,10.335,0.0,160311,12.18,6.44,7.13,0.15,0.28,0.55,0.94,12.62,0
Franklin India Money Market Fund(G),Debt : Money Market,Rohan Maru,Open Ended,Nifty Money Market Index,2547.1,0.3,49.65,8.07,7.04,5.93,6.84,0.0,160311,0.91,0.85,7.15,0.12,1.42,0.99,0.62,0.58,23
Franklin India Multi Cap FundNAReg(G),Equity : Multi Cap,R. Janakiraman,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,4424.5,1.82,9.57,8.43,12.555,15.835,10.335,28.12,81363,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Franklin India MultiNAAsset Solution FoF(G),FoFs : Domestic,Rajasa Kakulavarapu,Open Ended,NIFTY 500 NA TRI,63.6,1.38,20.57,14.66,12.56,15.96,7.26,40.13,160311,3.105,2.595,7.065,0.33,0.36,0.78,0.29,5.5,10
Franklin India NSE Nifty 50 Index Fund(G),Equity : Index Funds,Shyam Sundar Sriram,Open Ended,NIFTY 50,700.8,0.63,195.24,8.21,13.01,20.13,11.64,8.61,541874,3.105,2.595,7.065,0.05,0.17,0.34,0.99,12.92,24
Franklin India Opportunities Fund(G),Equity : Thematic,R. Janakiraman,Open Ended,NIFTY 500,6046.8,1.79,236.69,9.11,29.65,31.31,15.55,58.0,84524,3.105,2.595,7.065,0.93,0.37,0.7,1.08,17.24,25
Franklin India Overnight Fund(G),Debt : Overnight,Pallab Roy,Open Ended,Nifty 1D Rate Index,420.8,0.11,1333.79,6.5,6.26,4.97,10.335,0.0,160311,0.01,0.01,7.2,0.01,2.78,0.9,0.9,0.21,5
Franklin India Pension Plan(G),Hybrid : Solution Oriented,Anuj Tagra,Open Ended,CRISIL Short Term Debt Hybrid 60+40 Index,505.8,2.29,213.85,8.21,10.65,10.89,8.25,0.0,230055,4.68,3.31,7.43,0.03,0.27,0.55,0.95,5.93,28
Franklin India Prima Fund(G),Equity : Mid Cap,R. Janakiraman,Open Ended,Nifty Midcap 150 NA TRI,11443.0,1.8,2576.36,13.2,21.57,27.09,14.9,24.9,54963,3.105,2.595,7.065,0.16,0.29,0.55,0.94,16.62,31
